age,gender,education_level,job_title,years_of_experience,salary,gender_encoded,education_level_encoded,job_title_encoded
26.0,Male,Bachelor's,Data Analyst,3.0,135000.0,1,0,18
25.0,Male,Bachelor's,Data Analyst,2.0,115000.0,1,0,18
27.0,Female,Master's,Data Scientist,4.0,150000.0,0,3,20
24.0,Female,Bachelor's,Product Manager,3.0,125000.0,0,0,107
31.0,Male,Master's,Data Scientist,7.0,180000.0,1,3,20
33.0,Female,Master's,Product Manager,10.0,195000.0,0,3,107
30.0,Female,PhD,Data Scientist,6.0,170000.0,0,5,20
34.0,Female,Master's,Product Manager,11.0,196000.0,0,3,107
23.0,Male,Bachelor's,Data Analyst,1.0,92000.0,1,0,18
32.0,Female,PhD,Data Scientist,9.0,195000.0,0,5,20
28.0,Male,Bachelor's,Software Engineer,5.0,165000.0,1,0,177
25.0,Male,Bachelor's,Data Analyst,3.0,135000.0,1,0,18
33.0,Female,Master's,Product Manager,11.0,196000.0,0,3,107
24.0,Male,Bachelor's,Data Analyst,1.0,92000.0,1,0,18
32.0,Male,Bachelor's Degree,Data Analyst,5.0,135000.0,1,1,18
27.0,Female,Master's Degree,Data Scientist,3.0,180000.0,0,4,20
40.0,Male,Bachelor's Degree,Software Engineer,12.0,195000.0,1,1,177
35.0,Female,Bachelor's Degree,Product Manager,8.0,165000.0,0,1,107
43.0,Male,Master's Degree,Data Scientist,15.0,198000.0,1,4,20
29.0,Female,Bachelor's Degree,Software Engineer,4.0,150000.0,0,1,177
36.0,Male,Bachelor's Degree,Data Analyst,9.0,162000.0,1,1,18
31.0,Male,Master's Degree,Data Scientist,6.0,175000.0,1,4,20
42.0,Female,Bachelor's Degree,Software Engineer,13.0,197000.0,0,1,177
33.0,Male,Bachelor's Degree,Data Analyst,7.0,142000.0,1,1,18
29.0,Female,Master's Degree,Data Scientist,4.0,182000.0,0,4,20
41.0,Male,Bachelor's Degree,Software Engineer,11.0,185000.0,1,1,177
35.0,Female,Bachelor's Degree,Product Manager,8.0,170000.0,0,1,107
27.0,Male,Bachelor's,Software Engineer,4.0,160000.0,1,0,177
32.0,Male,Bachelor's,Data Scientist,8.0,180000.0,1,0,20
29.0,Female,Master's,Data Analyst,6.0,150000.0,0,3,18
30.0,Male,Bachelor's,Data Analyst,5.0,140000.0,1,0,18
24.0,Male,Bachelor's,Data Analyst,2.0,100000.0,1,0,18
33.0,Female,Master's,Product Manager,11.0,190000.0,0,3,107
26.0,Male,Bachelor's,Data Analyst,3.0,120000.0,1,0,18
30.0,Female,PhD,Data Scientist,7.0,170000.0,0,5,20
31.0,Male,Bachelor's,Data Analyst,9.0,190000.0,1,0,18
28.0,Female,Bachelor's,Software Engineer,5.0,150000.0,0,0,177
26.0,Female,Bachelor's,Data Analyst,3.0,120000.0,0,0,18
30.0,Male,PhD,Data Scientist,7.0,170000.0,1,5,20
27.0,Female,Bachelor's,Product Manager,4.0,130000.0,0,0,107
24.0,Male,Bachelor's,Data Analyst,2.0,95000.0,1,0,18
33.0,Male,Master's,Product Manager,11.0,195000.0,1,3,107
25.0,Male,Bachelor's,Data Analyst,2.0,100000.0,1,0,18
28.0,Male,Bachelor's,Software Engineer,5.0,150000.0,1,0,177
29.0,Female,Master's,Data Scientist,6.0,150000.0,0,3,20
33.0,Female,Master's,Product Manager,11.0,195000.0,0,3,107
31.0,Female,Master's,Data Scientist,6.0,170000.0,0,3,20
32.0,Male,Bachelor's,Software Engineer,8.0,180000.0,1,0,177
34.0,Female,Master's,Product Manager,12.0,190000.0,0,3,107
25.0,Female,Bachelor's,Data Analyst,2.0,100000.0,0,0,18
29.0,Male,Bachelor's,Software Engineer,7.0,180000.0,1,0,177
27.0,Female,Bachelor's,Data Analyst,5.0,120000.0,0,0,18
33.0,Male,Master's,Data Scientist,10.0,195000.0,1,3,20
28.0,Male,Bachelor's,Software Engineer,4.0,160000.0,1,0,177
26.0,Female,Bachelor's,Data Analyst,3.0,100000.0,0,0,18
31.0,Male,Bachelor's,Product Manager,8.0,190000.0,1,0,107
30.0,Male,Master's,Software Engineer,6.0,170000.0,1,3,177
32.0,Female,Bachelor's,Data Scientist,9.0,185000.0,0,0,20
29.0,Male,Bachelor's,Data Analyst,7.0,130000.0,1,0,18
35.0,Female,Bachelor's,Product Manager,12.0,190000.0,0,0,107
27.0,Male,Bachelor's,Software Engineer,5.0,150000.0,1,0,177
28.0,Female,Master's,Data Scientist,6.0,150000.0,0,3,20
37.0,Male,PhD,Product Manager,14.0,195000.0,1,5,107
26.0,Male,Bachelor's,Data Analyst,3.0,110000.0,1,0,18
30.0,Female,Bachelor's,Software Engineer,8.0,180000.0,0,0,177
31.0,Male,Master's,Data Scientist,9.0,185000.0,1,3,20
29.0,Female,Bachelor's,Data Analyst,7.0,130000.0,0,0,18
32.0,Male,Bachelor's,Software Engineer,10.0,190000.0,1,0,177
28.0,Female,Master's,Data Scientist,6.0,155000.0,0,3,20
34.0,Male,Bachelor's,Software Engineer,12.0,195000.0,1,0,177
25.0,Female,Bachelor's,Data Analyst,2.0,90000.0,0,0,18
30.0,Male,Bachelor's,Product Manager,8.0,185000.0,1,0,107
29.0,Female,Bachelor's,Data Analyst,6.0,120000.0,0,0,18
31.0,Male,Bachelor's,Software Engineer,9.0,180000.0,1,0,177
27.0,Female,Bachelor's,Data Analyst,5.0,125000.0,0,0,18
28.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,175000.0,1,1,169
44.0,Male,PhD,Software Engineer Manager,18.0,190000.0,1,5,178
33.0,Female,Master's Degree,Back end Developer,5.0,110000.0,0,4,3
50.0,Male,PhD,Senior Project Engineer,16.0,195000.0,1,5,159
27.0,Female,Master's Degree,Full Stack Engineer,3.0,100000.0,0,4,45
25.0,Male,Bachelor's Degree,Front end Developer,1.0,60000.0,1,1,44
35.0,Male,Master's Degree,Senior Software Engineer,8.0,155000.0,1,4,169
47.0,Female,PhD,Full Stack Engineer,12.0,175000.0,0,5,45
46.0,Female,Master's Degree,Senior Project Engineer,13.0,180000.0,0,4,159
32.0,Male,Bachelor's Degree,Back end Developer,4.0,95000.0,1,1,3
61.0,Male,PhD,Software Engineer Manager,20.0,200000.0,1,5,178
41.0,Male,Master's Degree,Senior Software Engineer,11.0,165000.0,1,4,169
37.0,Male,Master's Degree,Senior Project Engineer,9.0,145000.0,1,4,159
53.0,Male,PhD,Software Engineer Manager,19.0,195000.0,1,5,178
30.0,Female,Bachelor's Degree,Front end Developer,2.0,75000.0,0,1,44
26.0,Female,Master's Degree,Back end Developer,3.0,90000.0,0,4,3
37.0,Female,Master's Degree,Senior Software Engineer,9.0,155000.0,0,4,169
32.0,Male,Bachelor's Degree,Full Stack Engineer,5.0,115000.0,1,1,45
44.0,Female,Master's Degree,Senior Software Engineer,12.0,170000.0,0,4,169
50.0,Female,PhD,Software Engineer Manager,16.0,190000.0,0,5,178
27.0,Male,Bachelor's Degree,Senior Project Engineer,4.0,115000.0,1,1,159
42.0,Male,PhD,Full Stack Engineer,14.0,180000.0,1,5,45
57.0,Male,PhD,Software Engineer Manager,18.0,195000.0,1,5,178
35.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0,1,4,169
62.0,Male,PhD,Software Engineer Manager,19.0,200000.0,1,5,178
26.0,Female,Master's Degree,Back end Developer,2.0,70000.0,0,4,3
42.0,Female,Master's Degree,Senior Project Engineer,11.0,170000.0,0,4,159
41.0,Female,PhD,Software Engineer Manager,14.0,185000.0,0,5,178
36.0,Female,Master's Degree,Full Stack Engineer,8.0,140000.0,0,4,45
49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,1,5,178
49.0,Male,PhD,Senior Project Engineer,15.0,185000.0,1,5,159
47.0,Male,PhD,Software Engineer Manager,15.0,180000.0,1,5,178
47.0,Male,PhD,Senior Software Engineer,14.0,175000.0,1,5,169
26.0,Male,Bachelor's Degree,Front end Developer,2.0,70000.0,1,1,44
24.0,Female,Bachelor's Degree,Back end Developer,1.0,60000.0,0,1,3
62.0,Male,PhD,Software Engineer Manager,20.0,200000.0,1,5,178
42.0,Male,PhD,Senior Software Engineer,14.0,170000.0,1,5,169
41.0,Female,Master's Degree,Senior Project Engineer,11.0,165000.0,0,4,159
23.0,Male,Bachelor's Degree,Full Stack Engineer,1.0,55000.0,1,1,45
55.0,Male,PhD,Software Engineer Manager,17.0,190000.0,1,5,178
33.0,Female,Bachelor's Degree,Front end Developer,5.0,105000.0,0,1,44
31.0,Male,Master's Degree,Full Stack Engineer,6.0,130000.0,1,4,45
50.0,Female,PhD,Software Engineer Manager,16.0,185000.0,0,5,178
24.0,Female,Master's Degree,Back end Developer,1.0,60000.0,0,4,3
56.0,Male,PhD,Software Engineer Manager,17.0,195000.0,1,5,178
24.0,Male,Bachelor's Degree,Front end Developer,1.0,60000.0,1,1,44
37.0,Male,Master's Degree,Senior Software Engineer,8.0,150000.0,1,4,169
43.0,Female,PhD,Senior Project Engineer,13.0,180000.0,0,5,159
34.0,Male,Master's Degree,Back end Developer,6.0,125000.0,1,4,3
45.0,Male,PhD,Software Engineer Manager,15.0,185000.0,1,5,178
29.0,Male,Bachelor's Degree,Full Stack Engineer,3.0,90000.0,1,1,45
29.0,Male,Bachelor's Degree,Front end Developer,3.0,80000.0,1,1,44
29.0,Female,Bachelor's Degree,Back end Developer,3.0,85000.0,0,1,3
48.0,Male,PhD,Senior Project Engineer,16.0,190000.0,1,5,159
43.0,Female,Master's Degree,Software Engineer Manager,11.0,160000.0,0,4,178
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,1,5,178
60.0,Male,PhD,Software Engineer Manager,18.0,195000.0,1,5,178
54.0,Female,PhD,Software Engineer Manager,14.0,190000.0,0,5,178
27.0,Female,Master's Degree,Full Stack Engineer,3.0,95000.0,0,4,45
23.0,Male,Bachelor's Degree,Back end Developer,1.0,55000.0,1,1,3
45.0,Male,PhD,Senior Software Engineer,13.0,185000.0,1,5,169
32.0,Female,Master's Degree,Full Stack Engineer,5.0,120000.0,0,4,45
57.0,Male,PhD,Software Engineer Manager,16.0,195000.0,1,5,178
47.0,Male,PhD,Software Engineer Manager,14.0,175000.0,1,5,178
25.0,Female,Master's Degree,Back end Developer,2.0,75000.0,0,4,3
58.0,Male,PhD,Software Engineer Manager,17.0,200000.0,1,5,178
41.0,Female,Master's Degree,Senior Software Engineer,12.0,160000.0,0,4,169
41.0,Male,PhD,Software Engineer Manager,12.0,175000.0,1,5,178
47.0,Male,PhD,Senior Software Engineer,15.0,180000.0,1,5,169
32.0,Male,Bachelor's Degree,Full Stack Engineer,5.0,120000.0,1,1,45
45.0,Male,PhD,Senior Project Engineer,14.0,185000.0,1,5,159
53.0,Male,PhD,Software Engineer Manager,18.0,195000.0,1,5,178
47.0,Female,PhD,Senior Software Engineer,14.0,170000.0,0,5,169
23.0,Male,Bachelor's Degree,Front end Developer,1.0,55000.0,1,1,44
33.0,Male,Master's Degree,Back end Developer,6.0,130000.0,1,4,3
42.0,Male,PhD,Software Engineer Manager,14.0,180000.0,1,5,178
37.0,Male,Master's Degree,Senior Software Engineer,9.0,145000.0,1,4,169
44.0,Female,Master's Degree,Senior Project Engineer,12.0,170000.0,0,4,159
38.0,Female,Master's Degree,Back end Developer,10.0,155000.0,0,4,3
34.0,Male,Master's Degree,Full Stack Engineer,6.0,125000.0,1,4,45
46.0,Female,PhD,Software Engineer Manager,14.0,180000.0,0,5,178
30.0,Male,Bachelor's Degree,Back end Developer,4.0,95000.0,1,1,3
44.0,Female,Master's Degree,Senior Software Engineer,11.0,170000.0,0,4,169
42.0,Male,PhD,Senior Project Engineer,14.0,175000.0,1,5,159
27.0,Male,Bachelor's Degree,Front end Developer,3.0,80000.0,1,1,44
54.0,Male,PhD,Software Engineer Manager,18.0,195000.0,1,5,178
38.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0,1,4,169
31.0,Male,Master's Degree,Senior Project Engineer,6.0,125000.0,1,4,159
28.0,Female,Master's Degree,Full Stack Engineer,4.0,110000.0,0,4,45
30.0,Female,Master's Degree,Back end Developer,6.0,130000.0,0,4,3
54.0,Male,PhD,Software Engineer Manager,16.0,190000.0,1,5,178
37.0,Male,Master's Degree,Senior Software Engineer,9.0,150000.0,1,4,169
31.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0,1,4,169
58.0,Female,PhD,Software Engineer Manager,17.0,195000.0,0,5,178
23.0,Female,Bachelor's Degree,Back end Developer,1.0,55000.0,0,1,3
52.0,Female,PhD,Software Engineer Manager,16.0,190000.0,0,5,178
32.0,Female,Master's Degree,Full Stack Engineer,6.0,130000.0,0,4,45
32.0,Male,Master's Degree,Back end Developer,6.0,130000.0,1,4,3
34.0,Male,Master's Degree,Full Stack Engineer,7.0,140000.0,1,4,45
28.0,Male,Bachelor's Degree,Front end Developer,2.0,70000.0,1,1,44
44.0,Male,Master's Degree,Senior Project Engineer,11.0,170000.0,1,4,159
46.0,Male,PhD,Software Engineer Manager,14.0,180000.0,1,5,178
27.0,Female,Master's Degree,Back end Developer,2.0,70000.0,0,4,3
23.0,Female,Bachelor's Degree,Front end Developer,1.0,55000.0,0,1,44
43.0,Male,PhD,Software Engineer Manager,13.0,180000.0,1,5,178
28.0,Female,Bachelor's Degree,Front end Developer,2.0,70000.0,0,1,44
43.0,Male,Master's Degree,Senior Project Engineer,12.0,165000.0,1,4,159
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,1,5,159
36.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0,1,4,169
28.0,Female,Bachelor's Degree,Front end Developer,3.0,80000.0,0,1,44
28.0,Female,Master's Degree,Back end Developer,3.0,90000.0,0,4,3
43.0,Male,PhD,Senior Software Engineer,12.0,170000.0,1,5,169
44.0,Male,PhD,Senior Project Engineer,12.0,170000.0,1,5,159
37.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0,1,4,169
56.0,Male,PhD,Software Engineer Manager,18.0,195000.0,1,5,178
27.0,Male,Bachelor's Degree,Front end Developer,2.0,70000.0,1,1,44
31.0,Male,Master's Degree,Full Stack Engineer,7.0,140000.0,1,4,45
50.0,Male,PhD,Software Engineer Manager,16.0,190000.0,1,5,178
33.0,Male,Master's Degree,Full Stack Engineer,6.0,130000.0,1,4,45
41.0,Male,PhD,Senior Project Engineer,12.0,165000.0,1,5,159
24.0,Female,Bachelor's Degree,Front end Developer,1.0,55000.0,0,1,44
43.0,Male,PhD,Senior Project Engineer,12.0,165000.0,1,5,159
58.0,Male,PhD,Software Engineer Manager,17.0,195000.0,1,5,178
29.0,Female,Bachelor's Degree,Front end Developer,3.0,85000.0,0,1,44
52.0,Male,PhD,Software Engineer Manager,18.0,200000.0,1,5,178
36.0,Male,Master's Degree,Full Stack Engineer,8.0,140000.0,1,4,45
26.0,Male,Bachelor's Degree,Back end Developer,2.0,65000.0,1,1,3
47.0,Male,PhD,Senior Project Engineer,16.0,190000.0,1,5,159
32.0,Male,Master's Degree,Full Stack Engineer,6.0,120000.0,1,4,45
57.0,Male,PhD,Software Engineer Manager,18.0,200000.0,1,5,178
51.0,Male,PhD,Software Engineer Manager,16.0,190000.0,1,5,178
27.0,Female,Master's Degree,Back end Developer,2.0,65000.0,0,4,3
36.0,Male,Master's Degree,Full Stack Engineer,7.0,130000.0,1,4,45
33.0,Female,Master's Degree,Full Stack Engineer,5.0,120000.0,0,4,45
25.0,Male,Bachelor's Degree,Front end Developer,1.0,55000.0,1,1,44
40.0,Male,PhD,Senior Software Engineer,12.0,160000.0,1,5,169
36.0,Male,Master's Degree,Senior Software Engineer,8.0,140000.0,1,4,169
31.0,Male,Master's Degree,Senior Project Engineer,7.0,135000.0,1,4,159
24.0,Male,Bachelor's Degree,Back end Developer,1.0,55000.0,1,1,3
34.0,Male,Bachelor's Degree,Front end Developer,5.0,95000.0,1,1,44
43.0,Female,Master's Degree,Senior Software Engineer,12.0,170000.0,0,4,169
27.0,Male,Bachelor's Degree,Back end Developer,2.0,75000.0,1,1,3
56.0,Female,PhD,Software Engineer Manager,18.0,210000.0,0,5,178
32.0,Male,Master's Degree,Full Stack Engineer,7.0,135000.0,1,4,45
46.0,Male,PhD,Senior Project Engineer,16.0,190000.0,1,5,159
41.0,Female,PhD,Senior Project Engineer,11.0,165000.0,0,5,159
34.0,Male,Bachelor's Degree,Back end Developer,6.0,120000.0,1,1,3
40.0,Female,PhD,Senior Software Engineer,12.0,160000.0,0,5,169
24.0,Male,Bachelor's Degree,Front end Developer,1.0,55000.0,1,1,44
36.0,Male,Bachelor's Degree,Front end Developer,7.0,120000.0,1,1,44
29.0,Female,Master's Degree,Back end Developer,3.0,90000.0,0,4,3
41.0,Female,PhD,Software Engineer Manager,14.0,180000.0,0,5,178
33.0,Male,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,1,1,45
42.0,Male,PhD,Senior Software Engineer,12.0,170000.0,1,5,169
28.0,Male,Bachelor's Degree,Back end Developer,2.0,70000.0,1,1,3
55.0,Male,PhD,Software Engineer Manager,18.0,210000.0,1,5,178
26.0,Female,Master's Degree,Front end Developer,1.0,55000.0,0,4,44
44.0,Female,PhD,Software Engineer Manager,11.0,165000.0,0,5,178
30.0,Male,Master's Degree,Full Stack Engineer,5.0,105000.0,1,4,45
39.0,Female,Master's Degree,Senior Software Engineer,11.0,160000.0,0,4,169
32.0,Male,Bachelor's Degree,Front end Developer,6.0,110000.0,1,1,44
50.0,Male,PhD,Software Engineer Manager,17.0,195000.0,1,5,178
27.0,Male,Bachelor's Degree,Back end Developer,3.0,85000.0,1,1,3
46.0,Male,PhD,Senior Project Engineer,14.0,180000.0,1,5,159
25.0,Female,Bachelor's Degree,Front end Developer,1.0,55000.0,0,1,44
35.0,Male,Bachelor's Degree,Back end Developer,8.0,140000.0,1,1,3
35.0,Male,Bachelor's Degree,Full Stack Engineer,8.0,145000.0,1,1,45
41.0,Male,PhD,Senior Project Engineer,13.0,185000.0,1,5,159
33.0,Male,Bachelor's Degree,Front end Developer,6.0,110000.0,1,1,44
31.0,Male,Bachelor's Degree,Front end Developer,6.0,115000.0,1,1,44
42.0,Female,Master's Degree,Software Engineer Manager,13.0,170000.0,0,4,178
27.0,Female,Bachelor's Degree,Back end Developer,3.0,80000.0,0,1,3
51.0,Male,PhD,Senior Project Engineer,19.0,200000.0,1,5,159
34.0,Female,Master's Degree,Full Stack Engineer,7.0,130000.0,0,4,45
38.0,Male,Bachelor's Degree,Software Engineer Manager,11.0,155000.0,1,1,178
29.0,Male,Bachelor's Degree,Front end Developer,5.0,105000.0,1,1,44
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,0,5,159
36.0,Male,Master's Degree,Back end Developer,8.0,140000.0,1,4,3
48.0,Male,PhD,Software Engineer Manager,16.0,185000.0,1,5,178
35.0,Female,Bachelor's Degree,Full Stack Engineer,8.0,145000.0,0,1,45
30.0,Female,Master's Degree,Front end Developer,4.0,90000.0,0,4,44
50.0,Male,PhD,Senior Project Engineer,18.0,195000.0,1,5,159
29.0,Male,Bachelor's Degree,Back end Developer,4.0,95000.0,1,1,3
41.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,1,4,178
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,0,1,45
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0,1,5,159
28.0,Female,Bachelor's Degree,Front end Developer,2.0,65000.0,0,1,44
39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,0,4,178
30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,1,1,3
46.0,Male,PhD,Senior Project Engineer,15.0,180000.0,1,5,159
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,1,5,178
31.0,Male,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,1,1,45
49.0,Female,PhD,Senior Project Engineer,17.0,195000.0,0,5,159
36.0,Male,Master's Degree,Back end Developer,9.0,150000.0,1,4,3
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,1,5,178
25.0,Female,Bachelor's Degree,Front end Developer,1.0,550.0,0,1,44
29.0,Male,Bachelor's Degree,Front end Developer,4.0,90000.0,1,1,44
40.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,0,4,178
33.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,0,4,45
37.0,Male,Bachelor's Degree,Software Engineer Manager,10.0,150000.0,1,1,178
28.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,1,1,44
44.0,Female,PhD,Senior Project Engineer,14.0,190000.0,0,5,159
35.0,Male,Master's Degree,Back end Developer,8.0,140000.0,1,4,3
47.0,Male,PhD,Software Engineer Manager,16.0,185000.0,1,5,178
34.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,0,1,45
31.0,Female,Master's Degree,Front end Developer,5.0,105000.0,0,4,44
42.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,1,4,178
29.0,Female,Bachelor's Degree,Front end Developer,4.0,90000.0,0,1,44
27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,1,1,3
49.0,Male,PhD,Senior Project Engineer,17.0,195000.0,1,5,159
32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,0,4,45
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,1,1,178
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,1,1,44
34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,1,4,3
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,1,5,178
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,0,1,45
30.0,Female,Master's Degree,Front end Developer,5.0,105000.0,0,4,44
50.0,Male,PhD,Senior Project Engineer,19.0,200000.0,1,5,159
27.0,Male,Bachelor's Degree,Developer,7.0,100000.0,1,1,22
31.0,Female,Bachelor's Degree,Front end Developer,6.0,110000.0,0,1,44
37.0,Male,Master's Degree,Software Engineer Manager,10.0,150000.0,1,4,178
31.0,Male,Master's Degree,Software Engineer Manager,8.0,130000.0,1,4,178
43.0,Male,PhD,Senior Project Engineer,15.0,180000.0,1,5,159
35.0,Female,Master's Degree,Full Stack Engineer,8.0,140000.0,0,4,45
42.0,Male,Bachelor's Degree,Software Engineer Manager,12.0,160000.0,1,1,178
28.0,Female,Bachelor's Degree,Front end Developer,2.0,55000.0,0,1,44
44.0,Female,PhD,Senior Project Engineer,16.0,190000.0,0,5,159
32.0,Male,Master's Degree,Back end Developer,7.0,120000.0,1,4,3
48.0,Male,PhD,Software Engineer Manager,18.0,200000.0,1,5,178
30.0,Female,Bachelor's Degree,Full Stack Engineer,5.0,100000.0,0,1,45
34.0,Male,Master's Degree,Front end Developer,9.0,150000.0,1,4,44
37.0,Female,Bachelor's Degree,Software Engineer Manager,11.0,170000.0,0,1,178
49.0,Female,PhD,Senior Project Engineer,19.0,210000.0,0,5,159
29.0,Male,Bachelor's Degree,Full Stack Engineer,4.0,90000.0,1,1,45
41.0,Male,Master's Degree,Software Engineer Manager,14.0,180000.0,1,4,178
46.0,Female,PhD,Senior Project Engineer,16.0,185000.0,0,5,159
30.0,Male,Master's Degree,Front end Developer,5.0,105000.0,1,4,44
50.0,Male,PhD,Software Engineer Manager,20.0,210000.0,1,5,178
31.0,Male,Bachelor's Degree,Back end Developer,6.0,95000.0,1,1,3
39.0,Female,Master's Degree,Software Engineer Manager,11.0,170000.0,0,4,178
48.0,Male,PhD,Software Engineer Manager,19.0,200000.0,1,5,178
28.0,Male,Bachelor's Degree,Software Engineer,4.0,75000.0,1,1,177
33.0,Female,Master's Degree,Data Analyst,7.0,95000.0,0,4,18
22.0,Male,Bachelor's Degree,Front End Developer,1.0,50000.0,1,1,43
44.0,Male,PhD,Senior Data Scientist,15.0,180000.0,1,5,130
29.0,Female,Bachelor's Degree,Software Developer,3.0,65000.0,0,1,176
31.0,Male,Master's Degree,Product Manager,6.0,120000.0,1,4,107
25.0,Female,Master's Degree,Software Engineer,2.0,60000.0,0,4,177
38.0,Male,Bachelor's Degree,Data Scientist,10.0,150000.0,1,1,20
27.0,Male,Bachelor's Degree,Software Engineer,3.0,70000.0,1,1,177
46.0,Female,PhD,Director of Data Science,20.0,220000.0,0,5,28
33.0,Male,Master's Degree,Data Analyst,8.0,100000.0,1,4,18
24.0,Female,Bachelor's Degree,Software Developer,2.0,55000.0,0,1,176
36.0,Male,PhD,Senior Data Scientist,12.0,170000.0,1,5,130
30.0,Female,Bachelor's Degree,Software Engineer,5.0,90000.0,0,1,177
29.0,Male,Bachelor's Degree,Front End Developer,4.0,80000.0,1,1,43
42.0,Male,Master's Degree,Product Manager,14.0,180000.0,1,4,107
26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0,1,1,176
35.0,Female,Master's Degree,Data Analyst,9.0,120000.0,0,4,18
27.0,Female,Bachelor's Degree,Software Engineer,3.0,70000.0,0,1,177
48.0,Male,PhD,Director of Data Science,18.0,210000.0,1,5,28
34.0,Male,Master's Degree,Data Scientist,9.0,140000.0,1,4,20
23.0,Female,Bachelor's Degree,Software Engineer,1.0,50000.0,0,1,177
32.0,Male,Master's Degree,Product Manager,7.0,110000.0,1,4,107
37.0,Male,Bachelor's Degree,Data Analyst,11.0,160000.0,1,1,18
41.0,Female,PhD,Director of Data Science,16.0,200000.0,0,5,28
34.0,Male,Master's Degree,Data Analyst,8.0,100000.0,1,4,18
34.0,Female,Bachelor's Degree,Full Stack Engineer,8.0,122485.0,0,1,45
25.0,Male,PhD,Software Engineer Manager,12.0,169159.0,1,5,178
43.0,Male,Master's Degree,Senior Software Engineer,21.0,187081.0,1,4,169
53.0,Other,High School,Senior Project Engineer,31.0,166109.0,2,2,159
27.0,Female,Master's Degree,Front end Developer,5.0,78354.0,0,4,44
25.0,Male,Bachelor's Degree,Back end Developer,2.0,90249.0,1,1,3
29.0,Female,Master's Degree,Senior Software Engineer,6.0,132720.0,0,4,169
52.0,Male,PhD,Software Engineer Manager,23.0,161568.0,1,5,178
41.0,Male,Master's Degree,Front end Developer,13.0,127346.0,1,4,44
49.0,Female,Bachelor's Degree,Back end Developer,19.0,120177.0,0,1,3
25.0,Other,High School,Full Stack Engineer,2.0,69032.0,2,2,45
35.0,Male,Master's Degree,Senior Project Engineer,8.0,101332.0,1,4,159
57.0,Female,PhD,Full Stack Engineer,30.0,121450.0,0,5,45
35.0,Female,Bachelor's Degree,Senior Project Engineer,12.0,166375.0,0,1,159
43.0,Male,Master's Degree,Senior Software Engineer,21.0,185119.0,1,4,169
37.0,Female,Bachelor's Degree,Full Stack Engineer,10.0,149217.0,0,1,45
50.0,Male,Master's Degree,Software Engineer Manager,21.0,166512.0,1,4,178
52.0,Female,Master's Degree,Senior Software Engineer,28.0,186963.0,0,4,169
26.0,Male,Bachelor's Degree,Back end Developer,3.0,75072.0,1,1,3
34.0,Female,Master's Degree,Full Stack Engineer,10.0,163398.0,0,4,45
30.0,Male,High School,Senior Project Engineer,11.0,103947.0,1,2,159
60.0,Female,PhD,Software Engineer Manager,33.0,179180.0,0,5,178
50.0,Male,Bachelor's Degree,Back end Developer,23.0,175966.0,1,1,3
58.0,Male,Master's Degree,Senior Software Engineer,27.0,190004.0,1,4,169
35.0,Female,Master's Degree,Full Stack Engineer,10.0,152039.0,0,4,45
28.0,Male,Master's Degree,Front end Developer,5.0,76742.0,1,4,44
57.0,Female,PhD,Software Engineer Manager,33.0,191790.0,0,5,178
46.0,Female,Bachelor's Degree,Senior Software Engineer,20.0,139398.0,0,1,169
28.0,Male,High School,Back end Developer,7.0,95845.0,1,2,3
34.0,Male,Master's Degree,Full Stack Engineer,12.0,160976.0,1,4,45
33.0,Female,Master's Degree,Senior Project Engineer,9.0,126753.0,0,4,159
37.0,Other,Master's Degree,Full Stack Engineer,14.0,161393.0,2,4,45
